TIME, SSID, BSSID, SIGNAL, ACTIVE
13:23:56.700471  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 11231532 bytes (109927 packets) 	TX: 355575217 bytes (246637 packets) 	signal: -50 dBm 	tx bitrate: 12.0 MBit/s  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:23:57.701694  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 11612195 bytes (113660 packets) 	TX: 367339933 bytes (254788 packets) 	signal: -45 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:23:58.701188  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 12206197 bytes (119483 packets) 	TX: 386677049 bytes (268171 packets) 	signal: -45 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:23:59.701635  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 12832611 bytes (125624 packets) 	TX: 406227899 bytes (281701 packets) 	signal: -50 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:00.701654  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 13480139 bytes (131972 packets) 	TX: 427213760 bytes (296225 packets) 	signal: -45 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:01.701648  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 14176345 bytes (138797 packets) 	TX: 449608496 bytes (311724 packets) 	signal: -50 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:02.701615  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 14845395 bytes (145356 packets) 	TX: 471364542 bytes (326781 packets) 	signal: -44 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:03.701645  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 15565139 bytes (152412 packets) 	TX: 494143648 bytes (342546 packets) 	signal: -50 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:04.701664  Connected to 50:06:04:ba:44:df (on wlan0) 	SSID: eduroam 	freq: 5805 	RX: 16239263 bytes (159021 packets) 	TX: 516174244 bytes (357793 packets) 	signal: -44 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

