TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980236.705583] 64 bytes from 10.82.31.73: icmp_seq=1 ttl=61 time=1.49 ms
[1489980237.709259] 64 bytes from 10.82.31.73: icmp_seq=2 ttl=61 time=3.51 ms
[1489980238.714060] 64 bytes from 10.82.31.73: icmp_seq=3 ttl=61 time=6.66 ms
[1489980239.714993] 64 bytes from 10.82.31.73: icmp_seq=4 ttl=61 time=5.67 ms
[1489980240.741135] 64 bytes from 10.82.31.73: icmp_seq=5 ttl=61 time=29.8 ms
[1489980241.726816] 64 bytes from 10.82.31.73: icmp_seq=6 ttl=61 time=14.5 ms
[1489980242.729339] 64 bytes from 10.82.31.73: icmp_seq=7 ttl=61 time=15.1 ms
[1489980243.722643] 64 bytes from 10.82.31.73: icmp_seq=8 ttl=61 time=7.04 ms
[1489980244.743948] 64 bytes from 10.82.31.73: icmp_seq=9 ttl=61 time=28.0 ms
[1489980245.728325] 64 bytes from 10.82.31.73: icmp_seq=10 ttl=61 time=11.2 ms
[1489980246.734420] 64 bytes from 10.82.31.73: icmp_seq=11 ttl=61 time=15.7 ms
[1489980247.744623] 64 bytes from 10.82.31.73: icmp_seq=12 ttl=61 time=24.6 ms
[1489980249.732126] 64 bytes from 10.82.31.73: icmp_seq=14 ttl=61 time=1.75 ms
[1489980250.742986] 64 bytes from 10.82.31.73: icmp_seq=15 ttl=61 time=10.5 ms
[1489980251.744293] 64 bytes from 10.82.31.73: icmp_seq=16 ttl=61 time=10.1 ms
[1489980252.746726] 64 bytes from 10.82.31.73: icmp_seq=17 ttl=61 time=11.2 ms
[1489980253.750741] 64 bytes from 10.82.31.73: icmp_seq=18 ttl=61 time=13.7 ms
[1489980254.798156] 64 bytes from 10.82.31.73: icmp_seq=19 ttl=61 time=59.0 ms
[1489980255.745696] 64 bytes from 10.82.31.73: icmp_seq=20 ttl=61 time=5.32 ms
[1489980256.763651] 64 bytes from 10.82.31.73: icmp_seq=21 ttl=61 time=21.5 ms
[1489980257.757260] 64 bytes from 10.82.31.73: icmp_seq=22 ttl=61 time=13.2 ms
[1489980258.754104] 64 bytes from 10.82.31.73: icmp_seq=23 ttl=61 time=8.50 ms
[1489980259.759283] 64 bytes from 10.82.31.73: icmp_seq=24 ttl=61 time=11.8 ms
