TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005374.913696] 64 bytes from 10.82.31.86: icmp_seq=1 ttl=60 time=94.8 ms
[1495005375.854006] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=60 time=33.7 ms
[1495005376.867410] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=60 time=46.1 ms
[1495005377.855565] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=60 time=32.8 ms
[1495005378.871768] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=60 time=48.0 ms
[1495005379.873824] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=60 time=48.8 ms
[1495005380.847078] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=60 time=21.9 ms
[1495005381.851845] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=60 time=25.5 ms
[1495005382.860159] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=60 time=32.7 ms
[1495005383.855956] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=60 time=26.6 ms
[1495005384.859475] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=60 time=28.3 ms
[1495005385.880986] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=60 time=48.3 ms
[1495005386.875492] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=60 time=41.2 ms
[1495005387.871226] 64 bytes from 10.82.31.86: icmp_seq=14 ttl=60 time=35.4 ms
[1495005388.875146] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=60 time=37.7 ms
[1495005389.890517] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=60 time=51.1 ms
[1495005390.894157] 64 bytes from 10.82.31.86: icmp_seq=17 ttl=60 time=53.4 ms
[1495005391.890729] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=60 time=49.2 ms
[1495005392.888984] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=60 time=45.9 ms
[1495005393.876829] 64 bytes from 10.82.31.86: icmp_seq=20 ttl=60 time=32.5 ms
[1495005394.895878] 64 bytes from 10.82.31.86: icmp_seq=21 ttl=60 time=50.5 ms
[1495005395.899883] 64 bytes from 10.82.31.86: icmp_seq=22 ttl=60 time=52.6 ms
[1495005396.892039] 64 bytes from 10.82.31.86: icmp_seq=23 ttl=60 time=42.8 ms
[1495005397.890778] 64 bytes from 10.82.31.86: icmp_seq=24 ttl=60 time=40.4 ms
[1495005398.891154] 64 bytes from 10.82.31.86: icmp_seq=25 ttl=60 time=39.2 ms
[1495005399.907472] 64 bytes from 10.82.31.86: icmp_seq=26 ttl=60 time=54.1 ms
[1495005400.909594] 64 bytes from 10.82.31.86: icmp_seq=27 ttl=60 time=54.7 ms
[1495005401.901906] 64 bytes from 10.82.31.86: icmp_seq=28 ttl=60 time=45.0 ms
[1495005402.904749] 64 bytes from 10.82.31.86: icmp_seq=29 ttl=60 time=47.4 ms
[1495005403.917539] 64 bytes from 10.82.31.86: icmp_seq=30 ttl=60 time=58.5 ms
[1495005404.908412] 64 bytes from 10.82.31.86: icmp_seq=31 ttl=60 time=47.6 ms
[1495005405.949862] 64 bytes from 10.82.31.86: icmp_seq=32 ttl=60 time=87.3 ms
[1495005406.937331] 64 bytes from 10.82.31.86: icmp_seq=33 ttl=60 time=73.3 ms
[1495005407.972173] 64 bytes from 10.82.31.86: icmp_seq=34 ttl=60 time=106 ms
[1495005408.928644] 64 bytes from 10.82.31.86: icmp_seq=35 ttl=60 time=61.3 ms
[1495005409.937568] 64 bytes from 10.82.31.86: icmp_seq=36 ttl=60 time=68.6 ms
