TIME, SSID, BSSID, SIGNAL, ACTIVE
17:16:14.800299  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 1592719 bytes (15495 packets) 	TX: 43010631 bytes (29874 packets) 	signal: -64 dBm 	tx bitrate: 12.0 MBit/s  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:16:15.801454  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 1846543 bytes (17984 packets) 	TX: 50112648 bytes (34801 packets) 	signal: -56 dBm 	tx bitrate: 150.0 MBit/s MCS 7 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:16:16.801380  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 2346656 bytes (22828 packets) 	TX: 63374117 bytes (43980 packets) 	signal: -55 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:16:17.801415  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 2761318 bytes (26893 packets) 	TX: 75249253 bytes (52199 packets) 	signal: -55 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:16:18.801458  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 3184140 bytes (31038 packets) 	TX: 87208199 bytes (60476 packets) 	signal: -51 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:16:19.801440  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 3518765 bytes (34318 packets) 	TX: 96616594 bytes (66987 packets) 	signal: -52 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

