TIME, SSID, BSSID, SIGNAL, ACTIVE
13:36:57.818901  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1076448 bytes (10403 packets) 	TX: 31143025 bytes (21636 packets) 	signal: -63 dBm 	tx bitrate: 12.0 MBit/s  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:36:58.820025  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1076763 bytes (10406 packets) 	TX: 31143544 bytes (21641 packets) 	signal: -64 dBm 	tx bitrate: 12.0 MBit/s  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:36:59.820100  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1189369 bytes (11511 packets) 	TX: 34343676 bytes (23864 packets) 	signal: -65 dBm 	tx bitrate: 117.0 MBit/s MCS 14  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:00.819976  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1306325 bytes (12657 packets) 	TX: 37976532 bytes (26379 packets) 	signal: -63 dBm 	tx bitrate: 130.0 MBit/s MCS 14 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:01.820040  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1474963 bytes (14310 packets) 	TX: 42906998 bytes (29792 packets) 	signal: -63 dBm 	tx bitrate: 130.0 MBit/s MCS 14 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:02.820049  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1587169 bytes (15410 packets) 	TX: 46071674 bytes (31983 packets) 	signal: -62 dBm 	tx bitrate: 57.8 MBit/s MCS 5 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:03.820181  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1703787 bytes (16553 packets) 	TX: 49476220 bytes (34340 packets) 	signal: -61 dBm 	tx bitrate: 104.0 MBit/s MCS 13  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:04.820102  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 1866713 bytes (18150 packets) 	TX: 54203059 bytes (37613 packets) 	signal: -63 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:05.820034  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2012323 bytes (19577 packets) 	TX: 58494835 bytes (40584 packets) 	signal: -62 dBm 	tx bitrate: 57.8 MBit/s MCS 5 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:06.820161  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2127537 bytes (20706 packets) 	TX: 62033884 bytes (43035 packets) 	signal: -61 dBm 	tx bitrate: 65.0 MBit/s MCS 6 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:07.820042  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2243951 bytes (21847 packets) 	TX: 65259250 bytes (45268 packets) 	signal: -62 dBm 	tx bitrate: 144.4 MBit/s MCS 15 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:08.820188  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2353939 bytes (22925 packets) 	TX: 68408031 bytes (47448 packets) 	signal: -61 dBm 	tx bitrate: 28.9 MBit/s MCS 9 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:09.820161  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2427003 bytes (23641 packets) 	TX: 70613345 bytes (48976 packets) 	signal: -64 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:10.820069  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2509067 bytes (24445 packets) 	TX: 73161080 bytes (50741 packets) 	signal: -64 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:11.819214  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2559047 bytes (24935 packets) 	TX: 74298421 bytes (51529 packets) 	signal: -64 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:12.820221  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2663857 bytes (25962 packets) 	TX: 77230452 bytes (53559 packets) 	signal: -63 dBm 	tx bitrate: 78.0 MBit/s MCS 12  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:13.820122  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2777313 bytes (27074 packets) 	TX: 80620548 bytes (55906 packets) 	signal: -61 dBm 	tx bitrate: 52.0 MBit/s MCS 11  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:14.820163  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 2941565 bytes (28684 packets) 	TX: 85267794 bytes (59123 packets) 	signal: -64 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:15.820140  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3067261 bytes (29916 packets) 	TX: 89149190 bytes (61810 packets) 	signal: -64 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:16.820082  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3165009 bytes (30874 packets) 	TX: 91649166 bytes (63541 packets) 	signal: -64 dBm 	tx bitrate: 117.0 MBit/s MCS 14  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:17.820449  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3309167 bytes (32287 packets) 	TX: 95874472 bytes (66466 packets) 	signal: -63 dBm 	tx bitrate: 52.0 MBit/s MCS 11  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:18.820168  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3349693 bytes (32684 packets) 	TX: 96975688 bytes (67229 packets) 	signal: -62 dBm 	tx bitrate: 13.0 MBit/s MCS 8  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

