TIME, SSID, BSSID, SIGNAL, ACTIVE
17:10:58.898749  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 4405558 bytes (42308 packets) 	TX: 119963993 bytes (83359 packets) 	signal: -63 dBm 	tx bitrate: 24.0 MBit/s  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:10:59.899908  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 4614539 bytes (44358 packets) 	TX: 125795769 bytes (87406 packets) 	signal: -58 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:00.900032  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 4908874 bytes (47243 packets) 	TX: 134169670 bytes (93202 packets) 	signal: -64 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:01.899916  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 5089662 bytes (49015 packets) 	TX: 139289431 bytes (96746 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:02.900018  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 5255648 bytes (50642 packets) 	TX: 143962687 bytes (99981 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:03.900028  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 5648917 bytes (54497 packets) 	TX: 155220682 bytes (107772 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:04.899918  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 6154843 bytes (59431 packets) 	TX: 169012803 bytes (117318 packets) 	signal: -64 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:05.899930  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 6592659 bytes (63723 packets) 	TX: 181207284 bytes (125758 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:06.899899  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 7045673 bytes (68164 packets) 	TX: 194069355 bytes (134660 packets) 	signal: -63 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:07.899922  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 7526197 bytes (72874 packets) 	TX: 207714970 bytes (144107 packets) 	signal: -63 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:08.899922  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 8013609 bytes (77652 packets) 	TX: 221497698 bytes (153648 packets) 	signal: -61 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:09.900097  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 8472572 bytes (82151 packets) 	TX: 234654549 bytes (162754 packets) 	signal: -62 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:10.899947  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 8904982 bytes (86390 packets) 	TX: 247178490 bytes (171422 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:11.899873  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 9338106 bytes (90636 packets) 	TX: 259475566 bytes (179933 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:12.900320  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 9715742 bytes (94338 packets) 	TX: 270232272 bytes (187378 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:13.899911  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 10168372 bytes (98775 packets) 	TX: 283269306 bytes (196402 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:14.899918  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 10614318 bytes (103092 packets) 	TX: 295014157 bytes (204531 packets) 	signal: -62 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:15.899884  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 11106602 bytes (107918 packets) 	TX: 308932523 bytes (214164 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:16.899865  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 11560126 bytes (112364 packets) 	TX: 321827829 bytes (223089 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

